Path,Type,Size
HW_8,directory,22397
HW_8\.idea,directory,3443
HW_8\.idea\.gitignore,file,50
HW_8\.idea\HW_8.iml,file,454
HW_8\.idea\inspectionProfiles,directory,613
HW_8\.idea\inspectionProfiles\profiles_settings.xml,file,174
HW_8\.idea\inspectionProfiles\Project_Default.xml,file,439
HW_8\.idea\misc.xml,file,189
HW_8\.idea\modules.xml,file,267
HW_8\.idea\vcs.xml,file,188
HW_8\.idea\workspace.xml,file,1682
HW_8\add_user_to_json.py,file,4568
HW_8\csv_to_json.py,file,2668
HW_8\csv_to_pickle.py,file,936
HW_8\file_traversal.py,file,3649
HW_8\json_to_csv.py,file,1501
HW_8\json_to_pickle_converter.py,file,1219
HW_8\names_numbers_to_json.py,file,1406
HW_8\pickle_to_csv_converter.py,file,1561
HW_8\users.json,file,371
HW_8\users.pickle,file,149
HW_8\users_processed.json,file,926
HW_8\__init__.py,file,0
